chromosome	start	end	strand	gene_type	gene_name
chr5	78317036	78317137	+	misc_RNA	Y_RNA
chr5	78342338	78360507	-	lncRNA	SCAMP1-AS1
chr5	78360611	78480739	+	protein_coding	SCAMP1
chr5	78485215	78770021	-	protein_coding	LHFPL2
chr5	78644265	78644845	-	processed_pseudogene	HMGB1P21
chr5	78708734	78716082	-	processed_pseudogene	ENSG00000254170
chr5	78753596	78753873	+	processed_pseudogene	ENSG00000254310
chr5	78777209	78986087	-	protein_coding	ARSB
chr5	78997564	79236038	-	protein_coding	DMGDH
chr5	79000112	79001124	-	processed_pseudogene	ENSG00000214890
chr5	79069767	79090069	+	protein_coding	BHMT2
chr5	79111809	79132288	+	protein_coding	BHMT
chr5	79170234	79170335	-	misc_RNA	RNY3P1
chr5	79191549	79191747	+	processed_pseudogene	ENSG00000249829
chr5	79220942	79221073	+	snoRNA	ENSG00000206592
chr5	79229904	79230588	+	processed_pseudogene	ENSG00000250330
chr5	79236131	79327211	+	protein_coding	JMY
chr5	79284132	79284918	-	processed_pseudogene	RPS3AP20
chr5	79372636	79514134	-	protein_coding	HOMER1
chr5	79510434	79510919	+	processed_pseudogene	ENSG00000213755
chr5	79529302	79530093	+	processed_pseudogene	ENSG00000243160
chr5	79534853	79534954	+	misc_RNA	Y_RNA
chr5	79543786	79547655	-	lncRNA	ENSG00000288846
chr5	79562745	79562846	-	misc_RNA	Y_RNA
chr5	79612120	79688246	+	protein_coding	TENT2
chr5	79689836	79800240	+	protein_coding	CMYA5
chr5	79774348	79816190	-	lncRNA	ENSG00000250258
chr5	79840797	79846449	+	lncRNA	ENSG00000286818
chr5	79849552	79849846	-	processed_pseudogene	ENSG00000238254
chr5	79936579	79967626	+	lncRNA	LINC01455
chr5	79976716	79991262	-	protein_coding	MTX3
chr5	79991311	80083287	+	protein_coding	THBS4
chr5	80019609	80019920	+	processed_pseudogene	RBX1P2
chr5	80033171	80033302	-	processed_pseudogene	TRMT112P2
chr5	80052374	80083654	-	lncRNA	THBS4-AS1
chr5	80111651	80256048	-	protein_coding	SERINC5
chr5	80128361	80143883	+	lncRNA	ENSG00000251675
chr5	80256200	80258040	+	lncRNA	ENSG00000288741
chr5	80288449	80289781	+	processed_pseudogene	KRT18P45
chr5	80299678	80302847	-	processed_pseudogene	ENSG00000184188
chr5	80306235	80306368	-	snoRNA	ENSG00000251828
chr5	80315671	80315826	+	processed_pseudogene	ENSG00000244076
chr5	80319625	80321842	+	protein_coding	SPZ1
chr5	80331573	80332541	-	processed_pseudogene	RBMX2P5
chr5	80351021	80351956	-	processed_pseudogene	ENSG00000248569
chr5	80359080	80360040	-	processed_pseudogene	HNRNPA1P12
chr5	80365726	80365832	-	snRNA	RNU6-211P
chr5	80407325	80407923	-	lncRNA	ENSG00000289317
chr5	80408013	80483379	+	protein_coding	ZFYVE16
chr5	80411231	80488095	-	lncRNA	FAM151B-DT
chr5	80487969	80542563	+	protein_coding	FAM151B
chr5	80498534	80498971	-	processed_pseudogene	RPS27AP9
chr5	80500332	80501400	+	processed_pseudogene	RPL7P24
chr5	80556755	80570280	-	protein_coding	ANKRD34B
chr5	80603383	80603644	-	processed_pseudogene	DBIP2
chr5	80608623	80622524	-	lncRNA	LINC01337
chr5	80626226	80654983	-	protein_coding	DHFR
chr5	80630313	80631590	-	lncRNA	ENSG00000249655
chr5	80650000	80650086	-	processed_pseudogene	MTRNR2L2
chr5	80654652	80876815	+	protein_coding	MSH3
chr5	80746339	80746819	-	processed_pseudogene	ENSG00000248967
chr5	80855507	80855843	-	processed_pseudogene	ENSG00000244630
chr5	80947694	80960907	-	lncRNA	RASGRF2-AS1
chr5	80960363	81230162	+	protein_coding	RASGRF2
chr5	80997183	80998047	-	processed_pseudogene	ENSG00000251001
chr5	81113385	81114852	-	lncRNA	ENSG00000249772
chr5	81201341	81301565	-	lncRNA	CKMT2-AS1
chr5	81233320	81266398	+	protein_coding	CKMT2
chr5	81242330	81242599	-	processed_pseudogene	ENSG00000248794
chr5	81301587	81313297	+	protein_coding	ZCCHC9
chr5	81329996	81394179	-	protein_coding	ACOT12
chr5	81408517	81411867	-	lncRNA	ENSG00000286721
chr5	81412804	81751797	-	protein_coding	SSBP2
chr5	81817531	81842360	+	lncRNA	ENSG00000287938
chr5	81851601	81852201	+	lncRNA	ENSG00000249483
chr5	81892490	81892721	+	processed_pseudogene	SEM1P1
chr5	81972023	82276857	+	protein_coding	ATG10
chr5	81991995	81992481	+	lncRNA	ATG10-IT1
chr5	82009602	82010094	-	processed_pseudogene	PPIAP11
chr5	82073055	82073702	-	lncRNA	ATG10-AS1
chr5	82078427	82078724	+	misc_RNA	RN7SL378P
chr5	82265157	82265259	-	processed_pseudogene	ENSG00000251374
chr5	82273320	82278396	-	protein_coding	RPS23
chr5	82279462	82386977	+	transcribed_unitary_pseudogene	ATP6AP1L
chr5	82545862	82546310	-	lncRNA	ENSG00000248393
chr5	82586776	82587411	-	lncRNA	ENSG00000248870
chr5	82765404	82766333	+	lncRNA	ENSG00000249100
chr5	82777797	82778586	+	processed_pseudogene	RPL5P16
chr5	82807475	82860008	-	lncRNA	LINC01338
chr5	82824884	82825184	+	processed_pseudogene	ENSG00000248105
chr5	82840155	82840224	+	miRNA	MIR3977
chr5	82919376	82921119	-	lncRNA	ENSG00000248112
chr5	82940458	82940983	-	lncRNA	ENSG00000249857
chr5	82968888	82977153	+	processed_pseudogene	ST13P12
chr5	83012285	83013109	-	lncRNA	ENSG00000249664
chr5	83049376	83050964	-	lncRNA	ENSG00000271862
chr5	83052846	83077863	-	protein_coding	TMEM167A
chr5	83064204	83064337	-	snoRNA	SCARNA18
chr5	83077498	83353787	+	protein_coding	XRCC4
chr5	83201229	83202141	+	processed_pseudogene	ENSG00000243385
chr5	83279921	83280644	-	processed_pseudogene	COQ10BP2
chr5	83426676	83427030	+	processed_pseudogene	FTH1P9
chr5	83471618	83582303	+	protein_coding	VCAN
chr5	83531352	83581320	-	lncRNA	VCAN-AS1
chr5	83637805	83720855	-	protein_coding	HAPLN1
chr5	83685866	83686018	+	misc_RNA	RN7SKP295
chr5	83703448	83703543	+	snRNA	RNU6-620P
chr5	83746388	83746989	-	processed_pseudogene	ENSG00000242858
chr5	83803554	83803685	+	snRNA	RNU4-11P
chr5	83875166	83875821	-	processed_pseudogene	ZP3P1
chr5	83940554	84384880	-	protein_coding	EDIL3
chr5	84196883	84196989	+	snRNA	RNU6-448P
chr5	84382424	84490765	+	lncRNA	EDIL3-DT
chr5	84999812	85000315	-	processed_pseudogene	PPIAP79
chr5	85112342	85112756	-	lncRNA	ENSG00000249349
chr5	85190629	85190830	-	processed_pseudogene	RBBP4P6
chr5	85210060	85210903	-	processed_pseudogene	ENSG00000250253
chr5	85212958	85213614	-	lncRNA	ENSG00000249792
chr5	85237681	85238074	-	processed_pseudogene	ENSG00000248170
chr5	85420028	85420451	-	lncRNA	ENSG00000248667
chr5	85429702	85430184	+	lncRNA	ENSG00000249023
chr5	85446974	85447758	+	lncRNA	ENSG00000249842
chr5	85464434	85465310	+	processed_pseudogene	RPL5P17
chr5	85549409	85549952	+	processed_pseudogene	ENSG00000251066
chr5	85663232	85664684	+	lncRNA	ENSG00000250874
chr5	85762559	85763138	+	processed_pseudogene	RPS2P25
chr5	85848502	85849199	+	lncRNA	ENSG00000249153
chr5	86087526	86087847	+	processed_pseudogene	PTP4A1P4
chr5	86282460	86296463	+	transcribed_unprocessed_pseudogene	NBPF22P
chr5	86305233	86306149	-	TEC	ENSG00000280009
chr5	86335024	86335808	+	lncRNA	ENSG00000248195
chr5	86353803	86368854	+	lncRNA	ENSG00000248363
chr5	86380660	86381426	-	lncRNA	ENSG00000250124
chr5	86402465	86402960	+	processed_pseudogene	ENSG00000251585
chr5	86617928	86620962	+	protein_coding	COX7C
chr5	86620497	86620575	+	miRNA	SNORD138
chr5	86663144	86663250	-	snRNA	RNU6-804P
chr5	86746818	86749777	+	lncRNA	LINC02059
chr5	86797685	86800280	+	lncRNA	ENSG00000248701
chr5	86884231	86884881	-	processed_pseudogene	ENSG00000242477
chr5	86967321	87137712	+	lncRNA	ENSG00000249061
chr5	87048858	87138397	-	lncRNA	MIR4280HG
chr5	87102603	87102846	-	misc_RNA	RN7SKP34
chr5	87114879	87114954	-	miRNA	MIR4280
chr5	87205408	87240145	-	lncRNA	LINC01949
chr5	87267883	87391931	+	protein_coding	RASA1
chr5	87294189	87294473	-	misc_RNA	RN7SL629P
chr5	87299687	87299797	-	snRNA	RNU6-606P
chr5	87318416	87412930	-	protein_coding	CCNH
chr5	87412342	87499340	+	lncRNA	ENSG00000285190
chr5	87420341	87420447	-	snRNA	RNU6-727P
chr5	87662040	87705337	+	lncRNA	LINC02488
chr5	87665345	87733269	-	lncRNA	LINC02144
chr5	87767608	87774070	-	lncRNA	ENSG00000287783
chr5	87863703	88144455	-	lncRNA	ENSG00000287862
chr5	88140403	88141322	-	lncRNA	ENSG00000289462
chr5	88143177	88143582	-	lncRNA	ENSG00000289184
chr5	88189633	88269476	-	protein_coding	TMEM161B
chr5	88268868	88439337	+	lncRNA	TMEM161B-DT
chr5	88274258	88274376	-	rRNA_pseudogene	RNA5SP187
chr5	88381957	88382725	+	processed_pseudogene	RPS3AP22
chr5	88382772	88382907	+	snoRNA	SNORA70
chr5	88382948	88383260	+	processed_pseudogene	ENSG00000250306
chr5	88408982	88439090	-	lncRNA	LINC02060
chr5	88433892	88498697	-	lncRNA	ENSG00000271904
chr5	88507546	88691057	-	lncRNA	LINC00461
chr5	88602780	88603117	+	processed_pseudogene	H3P23
chr5	88666853	88666939	-	miRNA	MIR9-2
chr5	88676033	88779088	+	lncRNA	MEF2C-AS2
chr5	88685191	88686159	+	lncRNA	ENSG00000289008
chr5	88691757	88695041	-	lncRNA	ENSG00000250377
chr5	88692651	88692859	+	lncRNA	ENSG00000250555
chr5	88717117	88904257	-	protein_coding	MEF2C
chr5	88883328	89466398	+	lncRNA	MEF2C-AS1
chr5	89301289	89303089	-	lncRNA	ENSG00000288740
chr5	89466537	89470039	-	lncRNA	ENSG00000250831
chr5	89581209	89677701	+	lncRNA	LINC02161
chr5	89900664	89990883	+	lncRNA	ENSG00000214942
chr5	90016621	90016720	-	miRNA	MIR3660
chr5	90153052	90290078	-	lncRNA	LINC01339
chr5	90353037	90356609	-	lncRNA	ENSG00000253321
chr5	90388468	90389363	-	lncRNA	ENSG00000260871
chr5	90392257	90409766	-	protein_coding	CETN3
chr5	90410000	90410669	+	lncRNA	ENSG00000255647
chr5	90458209	90474771	-	protein_coding	MBLAC2
chr5	90471748	90514557	+	protein_coding	POLR3G
chr5	90515611	90529584	-	protein_coding	LYSMD3
chr5	90529344	91164437	+	protein_coding	ADGRV1
chr5	91030990	91031307	-	processed_pseudogene	TMEM251P1
chr5	91054834	91314547	-	lncRNA	LUCAT1
chr5	91132303	91142470	-	lncRNA	ENSG00000285618
chr5	91223419	91223967	+	lncRNA	ENSG00000212930
chr5	91226475	91227071	-	lncRNA	ENSG00000251093
chr5	91270727	91270867	+	snRNA	RNU4-90P
chr5	91280097	91281142	-	lncRNA	ENSG00000234292
chr5	91280272	91281643	+	lncRNA	ENSG00000286638
chr5	91314716	91314997	-	misc_RNA	Metazoa_SRP
chr5	91354478	91354934	+	processed_pseudogene	ENSG00000240388
chr5	91355380	91356026	+	lncRNA	ENSG00000241059
chr5	91368631	91383317	-	protein_coding	ARRDC3
chr5	91380349	91612566	+	lncRNA	ARRDC3-AS1
chr5	91476382	91477018	+	processed_pseudogene	RAB5CP2
chr5	91642643	91799234	+	lncRNA	ENSG00000286121
chr5	91843687	91844529	-	processed_pseudogene	PCBP2P3
chr5	91844022	91844116	-	misc_RNA	ENSG00000276426
chr5	92082597	92479426	+	lncRNA	ENSG00000250049
chr5	92410256	92660863	-	lncRNA	ENSG00000249776
chr5	92654848	92679141	+	lncRNA	ENSG00000249169
chr5	92675956	92688254	-	lncRNA	ENSG00000249984
chr5	92823935	92844992	+	lncRNA	ENSG00000248588
chr5	92840807	92841628	-	processed_pseudogene	LDHBP3
chr5	92889387	92890840	-	processed_pseudogene	CCT7P2
chr5	92907180	92939591	-	lncRNA	LINC02058
chr5	93019663	93068669	-	lncRNA	ENSG00000251361
chr5	93088856	93091768	+	lncRNA	ENSG00000286509
chr5	93267429	93268425	+	processed_pseudogene	POLD2P1
chr5	93360779	93585649	-	lncRNA	NR2F1-AS1
chr5	93583222	93594611	+	protein_coding	NR2F1
chr5	93598593	93600214	+	lncRNA	ENSG00000289274
chr5	93600357	93603598	+	TEC	ENSG00000278905
chr5	93617725	94111699	-	protein_coding	FAM172A
chr5	93620696	93620788	-	miRNA	MIR2277
chr5	93621683	93675081	+	lncRNA	ENSG00000287180
chr5	93682838	93683667	-	processed_pseudogene	NPM1P27
chr5	93733220	93741600	-	protein_coding	POU5F2
chr5	93741640	93743500	+	lncRNA	ENSG00000272406
chr5	93790505	93801320	+	lncRNA	ENSG00000287447
chr5	93860669	93863825	-	lncRNA	ENSG00000251023
chr5	94111720	94176029	+	lncRNA	ENSG00000286577
chr5	94150851	94618604	-	protein_coding	KIAA0825
chr5	94567461	94568909	+	processed_pseudogene	MTND5P12
chr5	94568929	94569470	-	processed_pseudogene	MTND6P3
chr5	94569540	94570676	+	processed_pseudogene	MTCYBP35
chr5	94592771	94594791	+	processed_pseudogene	ENSG00000232578
chr5	94611906	94618122	-	lncRNA	ENSG00000270133
chr5	94618669	94739436	+	protein_coding	SLF1
chr5	94703690	95285094	-	protein_coding	MCTP1
chr5	94788789	94793599	+	lncRNA	ENSG00000249175
chr5	94825961	94826694	-	processed_pseudogene	RPL7P18
chr5	94877599	94877777	-	misc_RNA	ENSG00000276514
chr5	94979151	94980893	+	lncRNA	MCTP1-AS1
chr5	95391366	95450454	+	protein_coding	FAM81B
chr5	95440044	95440687	+	processed_pseudogene	RTRAFP2
chr5	95461755	95554977	-	protein_coding	TTC37
chr5	95521369	95521475	+	snRNA	RNU6-308P
chr5	95555101	95605102	+	protein_coding	ARSK
chr5	95620087	95622142	+	protein_coding	GPR150
chr5	95646754	95684773	+	protein_coding	RFESD
chr5	95652181	95698711	-	protein_coding	SPATA9
chr5	95701249	95732295	-	lncRNA	ENSG00000250240
chr5	95713522	95824383	+	protein_coding	RHOBTB3
chr5	95751319	95822726	-	protein_coding	GLRX
chr5	95768999	95770700	+	processed_pseudogene	HSPD1P11
chr5	95834424	95835046	-	processed_pseudogene	GGCTP1
chr5	95835943	95852721	-	lncRNA	ENSG00000251409
chr5	95838245	95860133	+	lncRNA	LINC01554
chr5	95849309	95849855	+	lncRNA	ENSG00000272021
chr5	95861786	95874519	+	lncRNA	ENSG00000250362
chr5	95885098	95961851	-	protein_coding	ELL2
chr5	95962001	96631085	+	lncRNA	ENSG00000251314
chr5	95964999	95986311	-	lncRNA	ENSG00000250955
chr5	95973041	95973446	-	processed_pseudogene	FABP5P5
chr5	96050115	96215519	+	lncRNA	MIR583HG
chr5	96079138	96079212	+	miRNA	MIR583
chr5	96165522	96172063	-	lncRNA	ENSG00000289337
chr5	96210121	96210227	-	snRNA	RNU6-524P
chr5	96213330	96215075	-	lncRNA	ENSG00000249746
chr5	96247776	96278751	+	lncRNA	ENSG00000250158
chr5	96390333	96434143	-	protein_coding	PCSK1
chr5	96525267	96779595	+	protein_coding	CAST
chr5	96741079	96742698	-	lncRNA	ENSG00000249180
chr5	96760810	96808100	-	protein_coding	ERAP1
chr5	96784777	96785999	+	lncRNA	ENSG00000248734
chr5	96803688	96806105	+	lncRNA	ENSG00000272109
chr5	96814028	96935809	-	lncRNA	ENSG00000247121
chr5	96875986	96919703	+	protein_coding	ERAP2
chr5	96935394	97037513	+	protein_coding	LNPEP
chr5	96942299	96943184	+	processed_pseudogene	ENSG00000227836
chr5	96962656	96962757	-	misc_RNA	Y_RNA
chr5	97056402	97057358	-	processed_pseudogene	SETP22
chr5	97089075	97437217	+	lncRNA	LIX1-AS1
chr5	97091867	97142753	-	protein_coding	LIX1
chr5	97160867	97183247	-	protein_coding	RIOK2
chr5	97175950	97176113	-	snRNA	RNU1-73P
chr5	97183827	97216074	+	lncRNA	ENSG00000286828
chr5	97188090	97201880	-	lncRNA	ENSG00000248758
chr5	97223371	97227957	-	lncRNA	ENSG00000251054
chr5	97336858	97337040	-	processed_pseudogene	ENSG00000249761
chr5	97368776	97370421	+	processed_pseudogene	YTHDF1P1
chr5	97449358	97449741	-	processed_pseudogene	ENSG00000249977
chr5	97504663	97690180	+	lncRNA	LINC01340
chr5	97677547	97678681	-	processed_pseudogene	MTCYBP40
chr5	97737894	97738913	+	processed_pseudogene	ENSG00000251193
chr5	97799404	97882687	-	lncRNA	ENSG00000286953
chr5	97840912	97923497	+	lncRNA	LINC02234
chr5	98025965	98026139	+	processed_pseudogene	ENSG00000249101
chr5	98085866	98161352	-	lncRNA	LINC01846
chr5	98203059	98205193	+	processed_pseudogene	ENSG00000249135
chr5	98213402	98214121	+	processed_pseudogene	PSME2P1
chr5	98338744	98339832	+	processed_pseudogene	ENSG00000176183
chr5	98392070	98393530	-	processed_pseudogene	KRT8P32
chr5	98402542	98402732	-	processed_pseudogene	MRPS35P2
chr5	98409675	98410100	-	processed_pseudogene	MTCO2P24
chr5	98410235	98411792	-	processed_pseudogene	MTCO1P24
chr5	98576341	98577260	+	processed_pseudogene	CTBP2P4
chr5	98679402	98681367	+	processed_pseudogene	DDX18P4
chr5	98768650	98798643	+	protein_coding	RGMB
chr5	98769618	98773469	-	lncRNA	RGMB-AS1
chr5	98792861	98795766	-	lncRNA	ENSG00000279232
chr5	98833382	98833711	+	processed_pseudogene	CSNK1A1P3
chr5	98853985	98929007	-	protein_coding	CHD1
chr5	98889731	98889833	+	snRNA	RNU6-402P
chr5	98929171	98995013	+	lncRNA	CHD1-DT
chr5	98936638	98936747	-	misc_RNA	Y_RNA
chr5	98954394	98954972	+	processed_pseudogene	ENSG00000241597
chr5	99489559	99499367	+	transcribed_unprocessed_pseudogene	ENSG00000249444
chr5	99522311	99525462	-	processed_pseudogene	ENSG00000206356
chr5	99532628	99534611	+	unprocessed_pseudogene	GUSBP8
chr5	99549432	99577957	+	lncRNA	LINC02113
chr5	99594329	99594740	-	processed_pseudogene	ENSG00000248236
chr5	99594880	99595297	+	processed_pseudogene	ENSG00000248928
chr5	99948295	99949583	-	processed_pseudogene	CRLF3P2
chr5	99996547	99997932	+	processed_pseudogene	EEF1A1P20
chr5	100021804	100021906	+	misc_RNA	Y_RNA
chr5	100045928	100046374	-	processed_pseudogene	MTCYBP22
chr5	100046450	100046970	+	processed_pseudogene	MTND6P22
chr5	100046977	100048785	-	processed_pseudogene	MTND5P10
chr5	100048988	100050362	-	processed_pseudogene	MTND4P35
chr5	100050359	100050650	-	processed_pseudogene	MTND4LP5
chr5	100050719	100051063	-	processed_pseudogene	MTND3P19
chr5	100051133	100051916	-	processed_pseudogene	MTCO3P22
chr5	100051920	100052597	-	processed_pseudogene	MTATP6P2
chr5	100052859	100053539	-	processed_pseudogene	MTCO2P22
chr5	100053686	100055045	-	processed_pseudogene	MTCO1P22
chr5	100062275	100067954	-	unprocessed_pseudogene	GUSBP7
chr5	100153672	100153779	+	snRNA	RNU6-1119P
chr5	100375700	100381398	-	unprocessed_pseudogene	GUSBP19
chr5	100388853	100389938	+	unprocessed_pseudogene	ENSG00000273957
chr5	100399047	100526912	+	lncRNA	ENSG00000249787
chr5	100428124	100535262	-	lncRNA	FAM174A-DT
chr5	100535374	100586741	+	protein_coding	FAM174A
chr5	100654112	100657970	-	lncRNA	ENSG00000250806
chr5	100733058	100733386	+	misc_RNA	RN7SKP62
chr5	100806933	100903282	-	protein_coding	ST8SIA4
chr5	100816482	100816565	-	miRNA	MIR548P
chr5	101581830	101582128	+	misc_RNA	RN7SL802P
chr5	101816475	101816780	-	unprocessed_pseudogene	OR7H2P
chr5	101976296	101976798	+	processed_pseudogene	ENSG00000249495
chr5	102131007	102131135	-	rRNA_pseudogene	RNA5SP188
chr5	102141893	102146874	+	lncRNA	ENSG00000248261
chr5	102233986	102296284	-	protein_coding	SLCO4C1
chr5	102302504	102302810	+	misc_RNA	RN7SKP68
chr5	102371774	102499016	-	protein_coding	SLCO6A1
chr5	102500541	102505670	+	lncRNA	ENSG00000249017
chr5	102581368	102617589	+	lncRNA	LINC00492
chr5	102604220	102671765	-	lncRNA	LINC00491
chr5	102605635	102606197	+	lncRNA	ENSG00000247402
chr5	102664610	102726598	+	lncRNA	ENSG00000286338
chr5	102753981	103029730	+	protein_coding	PAM
chr5	103032376	103033031	+	processed_pseudogene	EIF3KP1
chr5	103086000	103120138	-	protein_coding	GIN1
chr5	103120149	103212799	+	protein_coding	PPIP5K2
chr5	103246048	103253519	-	lncRNA	ENSG00000248203
chr5	103258763	103278660	+	protein_coding	MACIR
chr5	103408941	103412511	-	lncRNA	ENSG00000250567
chr5	103430406	103526618	-	transcribed_unitary_pseudogene	PDZPH1P
chr5	103528434	103541985	-	lncRNA	LINC02115
chr5	103548855	103562790	-	protein_coding	NUDT12
chr5	103880129	103891433	-	lncRNA	ENSG00000283462
chr5	104079847	104406121	+	lncRNA	LINC02163
chr5	104098874	104099038	+	snRNA	RNU1-140P
chr5	104260531	104260826	-	misc_RNA	RN7SL255P
chr5	104383298	105392970	-	lncRNA	ENSG00000251574
chr5	104434772	104435499	+	TEC	ENSG00000278958
chr5	104773641	104799772	+	lncRNA	ENSG00000253776
chr5	104780288	104780389	-	snRNA	RNU6-334P
chr5	104917492	105246364	-	lncRNA	ENSG00000253584
chr5	105099473	105100098	+	processed_pseudogene	RAB9BP1
chr5	105922994	105923108	-	rRNA_pseudogene	RNA5SP189
chr5	106415576	106417241	-	processed_pseudogene	ENSG00000251204
chr5	106543066	106544330	-	processed_pseudogene	ENSG00000250145
chr5	106546665	106546803	+	snoRNA	ENSG00000252337
chr5	106815197	107011052	-	lncRNA	LINC01950
chr5	107195156	107195332	+	processed_pseudogene	PSMC1P5
chr5	107376894	107670937	-	protein_coding	EFNA5
chr5	107699392	107716841	-	lncRNA	ENSG00000249959
chr5	107724961	107727117	+	processed_pseudogene	ENSG00000248827
chr5	107734773	107735066	-	misc_RNA	RN7SL782P
chr5	107810629	107810924	+	misc_RNA	RN7SKP122
chr5	107859035	108382098	-	protein_coding	FBXL17
chr5	108382156	108418016	+	lncRNA	ENSG00000286503
chr5	108593609	108593967	+	processed_pseudogene	ENSG00000244245
chr5	108727825	108728260	-	lncRNA	LINC01023
chr5	108727882	108728580	+	lncRNA	ENSG00000289260
chr5	108747841	109196841	+	protein_coding	FER
chr5	108784098	108785552	+	processed_pseudogene	RACK1P1
chr5	108818041	108830790	-	lncRNA	ENSG00000250383
chr5	108891437	108891546	+	misc_RNA	Y_RNA
chr5	108894347	108894628	-	processed_pseudogene	ENSG00000250441
chr5	109014834	109014940	-	snRNA	RNU6-47P
chr5	109051315	109052457	-	processed_pseudogene	GJA1P1
chr5	109165289	109187152	-	lncRNA	ENSG00000286882
chr5	109237120	109326369	-	lncRNA	ENSG00000249476
chr5	109334713	109409974	-	protein_coding	PJA2
chr5	109448349	109449063	-	processed_pseudogene	ENSG00000248867
chr5	109467353	109467952	+	lncRNA	ENSG00000251367
chr5	109470843	109471586	+	lncRNA	ENSG00000248876
chr5	109497877	109499108	+	lncRNA	ENSG00000248440
chr5	109588338	109589592	+	processed_pseudogene	KRT18P42
chr5	109687802	109688329	-	lncRNA	MAN2A1-DT
chr5	109689927	109869625	+	protein_coding	MAN2A1
chr5	109699500	109699834	-	misc_RNA	RN7SKP230
chr5	109840128	109840692	-	processed_pseudogene	ENSG00000249068
chr5	109883182	109884751	+	lncRNA	LINC01848
chr5	109884610	109885423	-	processed_pseudogene	PGAM5P1
chr5	110289233	110738956	-	protein_coding	TMEM232
chr5	110513829	110513915	-	miRNA	MIR548F3
chr5	110684794	110684927	-	snoRNA	ENSG00000207177
chr5	110738136	110765161	+	protein_coding	SLC25A46
chr5	110908284	110908713	+	processed_pseudogene	ENSG00000270779
chr5	110948029	110950780	-	processed_pseudogene	BCLAF1P1
chr5	110970951	111008899	-	lncRNA	ENSG00000248428
chr5	110983563	110984466	-	processed_pseudogene	ENSG00000251627
chr5	111070062	111078026	+	protein_coding	TSLP
chr5	111076921	111092115	-	lncRNA	ENSG00000253613
chr5	111092321	111130502	+	protein_coding	WDR36
chr5	111155244	111156152	-	processed_pseudogene	ENSG00000250728
chr5	111192226	111193042	-	processed_pseudogene	RPS3AP21
chr5	111223653	111494886	+	protein_coding	CAMK4
chr5	111238810	111240319	+	lncRNA	ENSG00000288965
chr5	111265809	111270089	-	lncRNA	ENSG00000249318
chr5	111277517	111302567	-	lncRNA	ENSG00000248268
chr5	111496033	111512590	-	protein_coding	STARD4
chr5	111510396	111739726	+	lncRNA	STARD4-AS1
chr5	111572102	111572239	-	processed_pseudogene	HMGN1P13
chr5	111572236	111572398	+	processed_pseudogene	ENSG00000251099
chr5	111662621	111997464	-	protein_coding	NREP
chr5	111719769	111720061	-	misc_RNA	RN7SKP57
chr5	111846050	111846566	-	processed_pseudogene	HMGN1P14
chr5	111912508	112017309	+	lncRNA	NREP-AS1
chr5	112142441	112419313	-	protein_coding	EPB41L4A
chr5	112160526	112164818	+	lncRNA	EPB41L4A-AS1
chr5	112161485	112161617	+	snoRNA	SNORA13
chr5	112173570	112175548	+	lncRNA	ENSG00000250882
chr5	112192020	112210139	+	lncRNA	ENSG00000251187
chr5	112228283	112257309	+	lncRNA	ENSG00000251076
chr5	112363456	112363666	-	processed_pseudogene	ENSG00000248350
chr5	112419583	112420978	+	lncRNA	EPB41L4A-DT
chr5	112452703	112452989	-	processed_pseudogene	HMGB3P16
chr5	112546973	112547505	+	processed_pseudogene	ENSG00000251014
chr5	112628436	112682077	+	lncRNA	LINC02200
chr5	112707498	112846239	+	protein_coding	APC
chr5	112777630	112778161	-	processed_pseudogene	CBX3P3
chr5	112778363	112778469	+	snRNA	RNU6-482P
chr5	112827213	112867582	+	protein_coding	ENSG00000258864
chr5	112861188	112898371	+	protein_coding	SRP19
chr5	112876385	112922289	-	protein_coding	REEP5
chr5	112885094	112885745	+	processed_pseudogene	XBP1P1
chr5	112891610	112893079	+	transcribed_processed_pseudogene	ZRSR2P1
chr5	112976702	113022195	+	protein_coding	DCP2
chr5	113022099	113488823	-	protein_coding	MCC
chr5	113323028	113437174	+	lncRNA	ENSG00000232633
chr5	113432553	113434989	-	protein_coding	TSSK1B
chr5	113493835	113493960	+	snRNA	RNU4ATAC13P
chr5	113513694	113595285	+	protein_coding	YTHDC2
chr5	113738106	113776837	-	lncRNA	ENSG00000286839
chr5	114055926	114496500	+	protein_coding	KCNN2
chr5	114253513	114253754	+	misc_RNA	RN7SKP89
chr5	114475339	114668410	-	lncRNA	ENSG00000246316
chr5	114576041	114579970	+	lncRNA	LINC01957
chr5	115031273	115031894	-	lncRNA	ENSG00000251132
chr5	115087892	115088475	-	lncRNA	ENSG00000250242
chr5	115124762	115180546	-	protein_coding	TRIM36
chr5	115148764	115149644	-	lncRNA	TRIM36-IT1
chr5	115188563	115188932	+	lncRNA	ENSG00000249791
chr5	115204012	115262877	-	protein_coding	PGGT1B
chr5	115262505	115263448	+	lncRNA	ENSG00000271797
chr5	115264669	115265464	-	processed_pseudogene	ENSG00000243304
chr5	115267190	115296693	-	protein_coding	CCDC112
chr5	115289036	115289330	-	processed_pseudogene	HMGN1P15
chr5	115364201	115415268	-	lncRNA	ENSG00000289497
chr5	115389643	115392370	-	processed_pseudogene	CTNNA1P1
chr5	115402380	115402962	+	processed_pseudogene	AK3P4
chr5	115489634	115489931	+	processed_pseudogene	ENSG00000249944
chr5	115493557	115493821	+	processed_pseudogene	ENSG00000249433
