Gene Symbol	Gene ID	Cytoband	P2_LG	P6_LG	P7_LG	P8_LG	P1_LG	P4_LG	P5_LG	P9_LG	P8_2_LG
GNL3	26354	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	-0.383	-0.340
SNORD136	106633805	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	-0.383	-0.340
SNORD19	692089	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	-0.383	-0.340
GLT8D1	55830	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	-0.383	-0.340
SNORD19B	100113381	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	-0.383	-0.340
SNORD69	692109	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	-0.383	-0.340
SPCS1	28972	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	-0.383	-0.340
NEK4	6787	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	-0.383	-0.340
ITIH1	3697	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	-0.035	0.026
ITIH3	3699	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	0.197	0.271
ITIH4	3700	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	0.197	0.271
ITIH4-AS1	100873993	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	0.197	0.271
MUSTN1	389125	3p21.1	0.129	0.100	0.130	0.132	-0.044	-0.261	0.015	0.197	0.271
TMEM110-MUSTN1	100526772	3p21.1	0.129	0.032	0.130	0.132	-0.044	-0.261	0.015	0.197	0.271
TMEM110	375346	3p21.1	0.129	0.024	0.130	0.132	-0.044	-0.261	0.015	0.197	0.271
MIR8064	102465866	3p21.1	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	0.197	0.271
SFMBT1	51460	3p21.1	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.089	-0.102
RFT1	91869	3p21.1	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
PRKCD	5580	3p21.1	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
TKT	7086	3p21.1	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
DCP1A	55802	3p21.1	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
CACNA1D	776	3p21.1	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
CHDH	55349	3p21.1	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
IL17RB	55540	3p21.1	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
ACTR8	93973	3p21.1	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
SELK	58515	3p21.1	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
CACNA2D3	55799	3p21.1	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
ESRG	790952	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
CACNA2D3-AS1	100874237	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
LRTM1	57408	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
WNT5A	7474	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
ERC2	26059	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
ERC2-IT1	711	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
MIR3938	100500875	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
CCDC66	285331	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
FAM208A	23272	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
ARHGEF3	50650	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
ARHGEF3-AS1	100874200	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
SPATA12	353324	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
IL17RD	54756	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
HESX1	8820	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
APPL1	26060	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
ASB14	142686	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.314
LOC105377102	105377102	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.256	-0.172
DNAH12	201625	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.301	-0.527
PDE12	201626	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.518	-0.527
ARF4	378	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.518	-0.527
ARF4-AS1	106144532	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.518	-0.527
DENND6A	201627	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.518	-0.527
LOC101929159	101929159	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.518	-0.527
SLMAP	7871	3p14.3	0.129	0.002	0.130	0.132	-0.044	-0.261	0.015	-0.518	-0.527
FLNB	2317	3p14.3	0.129	0.002	-0.014	0.132	-0.044	-0.261	0.015	-0.334	-0.147
LOC105377105	105377105	3p14.3	0.129	0.002	-0.224	0.132	-0.044	-0.261	0.015	-0.179	0.070
DNASE1L3	1776	3p14.3	0.129	0.002	-0.224	0.132	-0.044	-0.261	0.015	-0.179	-0.056
ABHD6	57406	3p14.3	0.129	0.002	-0.224	0.132	-0.044	-0.261	0.015	-0.179	-0.244
RPP14	11102	3p14.3	0.129	0.002	-0.224	0.132	-0.044	-0.261	0.015	-0.179	-0.244
PXK	54899	3p14.3	0.129	0.002	-0.224	0.132	-0.044	-0.261	0.015	-0.179	-0.244
PDHB	5162	3p14.3	0.129	0.002	-0.224	0.132	-0.044	-0.261	0.015	-0.179	-0.244
KCTD6	200845	3p14.3	0.129	0.002	-0.224	0.132	-0.044	-0.261	0.015	-0.179	-0.095
ACOX2	8309	3p14.3	0.053	0.002	-0.224	0.132	-0.044	-0.261	0.015	0.046	0.054
FAM107A	11170	3p14.3	-0.074	0.002	-0.224	0.132	-0.044	-0.261	0.015	0.121	0.054
FAM3D-AS1	105377108	3p14.2	-0.074	0.002	-0.224	0.132	-0.044	-0.261	0.015	0.121	0.054
FAM3D	131177	3p14.2	-0.074	0.002	-0.224	-0.081	-0.044	-0.261	0.015	0.121	0.054
C3orf67	200844	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.327	0.015	0.121	0.054
C3orf67-AS1	101929238	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.345	0.015	0.121	0.054
FHIT	2272	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.054
MIR548BB	103504735	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.054
PTPRG	5793	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.105
PTPRG-AS1	100506994	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.275
C3orf14	57415	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.275
FEZF2	55079	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.275
CADPS	8618	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.203
LINC00698	285401	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.006
SYNPR	132204	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.006
SYNPR-AS1	100874016	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.006
SNTN	132203	3p14.2	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.006
C3orf49	132200	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.006
THOC7	80145	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.006
THOC7-AS1	100874039	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.006
ATXN7	6314	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.161
PSMD6-AS2	100507062	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.381
PSMD6	9861	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.381
PRICKLE2-AS1	100652759	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.381
LINC00994	100287879	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.381
PRICKLE2	166336	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	-0.116	0.121	0.381
PRICKLE2-AS2	100874242	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	0.015	0.121	0.381
PRICKLE2-AS3	100874243	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	-0.195	0.121	0.381
ADAMTS9	56999	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	-0.511	0.121	0.381
ADAMTS9-AS1	101929335	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	-0.511	0.121	0.381
ADAMTS9-AS2	100507098	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	-0.511	0.121	0.381
MAGI1	9223	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	-0.092	0.121	-0.029
MAGI1-AS1	100873983	3p14.1	-0.074	0.002	-0.224	-0.294	-0.044	-0.374	-0.001	0.121	-0.101
SLC25A26	115286	3p14.1	-0.074	0.002	-0.224	-0.055	-0.044	-0.374	-0.001	0.121	-0.069
LRIG1	26018	3p14.1	-0.074	0.002	-0.224	0.070	-0.044	-0.374	-0.001	0.121	0.212
LOC105377143	105377143	3p14.1	-0.074	0.002	-0.224	0.070	-0.044	-0.374	-0.001	0.121	0.212
KBTBD8	84541	3p14.1	-0.074	0.002	-0.224	0.070	-0.044	-0.374	-0.001	0.121	0.212
MIR4272	100422941	3p14.1	-0.074	0.002	-0.224	0.070	-0.044	-0.374	-0.001	0.121	0.212
SUCLG2	8801	3p14.1	-0.074	0.002	-0.224	0.070	-0.044	-0.374	-0.001	0.121	0.212
SUCLG2-AS1	101927111	3p14.1	-0.074	0.002	-0.224	0.070	-0.044	-0.374	-0.001	0.121	0.212
FAM19A1	407738	3p14.1	-0.074	0.002	-0.224	0.070	-0.044	-0.374	-0.001	0.121	0.212
LOC105377146	105377146	3p14.1	-0.074	0.002	-0.224	0.070	-0.044	-0.374	-0.001	0.121	0.212
FAM19A4	151647	3p14.1	-0.074	0.002	-0.224	0.070	-0.044	-0.374	-0.001	0.121	0.212
EOGT	285203	3p14.1	-0.074	0.002	-0.143	0.070	-0.044	-0.374	-0.001	0.034	-0.151
TMF1	7110	3p14.1	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	-0.312	-0.242
MIR3136	100422859	3p14.1	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	-0.312	-0.242
UBA3	9039	3p14.1	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	-0.312	-0.242
ARL6IP5	10550	3p14.1	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	-0.312	-0.242
LMOD3	56203	3p14.1	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	-0.312	-0.242
FRMD4B	23150	3p14.1	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	-0.312	-0.242
MITF	4286	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	0.018	0.163
SAMMSON	101927152	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	0.046	0.163
FOXP1	27086	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	0.046	0.163
FOXP1-AS1	104502416	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	0.046	0.163
MIR1284	100302112	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	0.046	0.163
EIF4E3	317649	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	0.046	0.163
GPR27	2850	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	0.046	0.163
PROK2	60675	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	0.046	0.163
LINC00877	285286	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	0.046	0.163
LINC00870	201617	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	0.046	0.163
RYBP	23429	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	0.046	0.163
LOC105377162	105377162	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	0.046	0.163
SHQ1	55164	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	-0.017	0.075
GXYLT2	727936	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	-0.363	-0.409
PPP4R2	151987	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	-0.267	-0.326
EBLN2	55096	3p13	-0.074	0.002	-0.022	0.070	-0.044	-0.374	-0.001	-0.363	-0.409
PDZRN3	23024	3p13	-0.074	0.002	-0.022	-0.190	-0.044	-0.374	-0.001	0.116	0.008
LOC101927296	101927296	3p13	-0.074	0.002	-0.022	-0.211	-0.044	-0.374	-0.001	0.116	0.008
PDZRN3-AS1	101927249	3p13	-0.074	0.002	-0.022	-0.211	-0.044	-0.374	-0.001	0.116	0.008
CNTN3	5067	3p12.3	-0.074	0.002	-0.022	-0.211	-0.044	-0.374	-0.001	0.116	0.008
MIR4444-1|chr3	100616394	3p12.3	-0.074	0.002	-0.022	-0.211	-0.044	-0.374	-0.001	0.116	0.008
FAM86DP	692099	3p12.3	-0.074	0.002	-0.022	-0.211	-0.044	-0.374	-0.001	0.116	0.008
MIR1324	100302212	3p12.3	-0.074	0.002	-0.022	-0.211	-0.044	-0.374	-0.001	0.116	0.008
FRG2C	100288801	3p12.3	-0.074	0.002	-0.022	-0.211	-0.044	-0.374	-0.001	1.032	0.195
LINC00960	401074	3p12.3	-0.074	0.002	-0.022	-0.211	-0.044	-0.374	-0.001	1.032	0.195
MIR4273	100422955	3p12.3	-0.074	0.002	-0.022	-0.211	-0.044	-0.374	-0.001	1.032	0.195
ZNF717	100131827	3p12.3	-0.074	0.002	-0.022	-0.211	-0.044	-0.374	-0.001	0.279	0.195
ROBO2	6092	3p12.3	-0.074	0.002	-0.022	-0.211	-0.044	-0.374	-0.001	0.028	0.195
ROBO1	6091	3p12.3	-0.074	0.002	-0.022	-0.092	-0.044	-0.374	-0.001	0.028	-0.027
LOC101927374	101927374	3p12.3	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
MIR3923	100500877	3p12.3	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
LOC728290	728290	3p12.2	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
GBE1	2632	3p12.2	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
LINC00971	440970	3p12.1	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
CADM2	253559	3p12.1	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
SNORA95	106635529	3p12.1	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
MIR5688	100847077	3p12.1	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
CADM2-AS2	100874037	3p12.1	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
LOC101927494	101927494	3p12.1	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
VGLL3	389136	3p12.1	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
LINC00506	100846978	3p12.1	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
CHMP2B	25978	3p11.2	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
MIR4795	100616161	3p11.2	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
POU1F1	5449	3p11.2	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
HTR1F	3355	3p11.2	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
CGGBP1	8545	3p11.1	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
ZNF654	55279	3p11.1	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
C3orf38	285237	3p11.1	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
EPHA3	2042	3p11.1	-0.074	0.002	-0.022	-0.037	-0.044	-0.374	-0.001	0.028	-0.045
ARL13B	200894	3q11.1	-0.043	-0.029	0.004	-0.060	-0.026	-0.354	-0.064	0.071	-0.014
DHFR2	200895	3q11.2	-0.043	-0.029	0.004	-0.060	-0.026	-0.354	-0.064	0.071	-0.014
NSUN3	63899	3q11.2	-0.043	-0.029	0.004	-0.060	-0.026	-0.354	-0.064	0.071	-0.014
PROS1	5627	3q11.1	-0.043	-0.029	0.004	-0.060	-0.026	-0.354	-0.064	0.071	-0.014
STX19	415117	3q11.2	-0.043	-0.029	0.004	-0.060	-0.026	-0.354	-0.064	0.071	-0.014
LINC00879	255025	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
MTHFD2P1	100287639	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
MIR8060	102465864	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
EPHA6	285220	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
ARL6	84100	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
CRYBG3	131544	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
MINA	84864	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
GABRR3	200959	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
OR5AC2	81050	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
OR5H1	26341	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
OR5H14	403273	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
OR5H15	403274	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
OR5H6	79295	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
OR5H2	79310	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
OR5K4	403278	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
OR5K3	403277	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
OR5K1	26339	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
OR5K2	402135	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
CLDND1	56650	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
GPR15	2838	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
CPOX	1371	3q11.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
ST3GAL6-AS1	100874207	3q12.1	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
ST3GAL6	10402	3q12.1	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	0.113	0.017
DCBLD2	131566	3q12.1	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.009	0.017
COL8A1	1295	3q12.1	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
CMSS1	84319	3q12.1	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
HP09053	101929357	3q12.1	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
FILIP1L	11259	3q12.1	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
MIR3921	100500859	3q12.1	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
TMEM30CP	644444	3q12.1	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
TBC1D23	55773	3q12.1	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
NIT2	56954	3q12.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
TOMM70	9868	3q12.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
LNP1	348801	3q12.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
TMEM45A	55076	3q12.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
ADGRG7	84873	3q12.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
TFG	10342	3q12.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
ABI3BP	25890	3q12.2	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
IMPG2	50939	3q12.3	-0.011	-0.060	0.029	-0.083	-0.009	-0.335	-0.127	-0.063	0.017
SENP7	57337	3q12.3	-0.011	-0.060	0.029	0.171	-0.009	-0.335	0.021	-0.290	-0.288
FAM172BP	131909	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	-0.347	-0.407
TRMT10C	54931	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	-0.347	-0.407
PCNP	57092	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	-0.347	-0.407
ZBTB11	27107	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	-0.347	-0.407
ZBTB11-AS1	100009676	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	-0.347	-0.407
RPL24	6152	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	-0.347	-0.407
PDCL3P4	285359	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	-0.347	-0.407
CEP97	79598	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	-0.347	-0.407
NXPE3	91775	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	-0.347	-0.257
NFKBIZ	64332	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	-0.347	0.042
LOC152225	152225	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	-0.347	0.042
LOC101929411	101929411	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	0.070	0.042
ZPLD1	131368	3q12.3	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	0.070	0.042
MIR548AB	100616336	3q13.11	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	0.070	0.042
ALCAM	214	3q13.11	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	0.070	0.042
CBLB	868	3q13.11	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	0.070	0.042
LINC00882	100302640	3q13.12	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	0.070	0.042
DUBR	344595	3q13.12	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	0.070	0.042
CCDC54	84692	3q13.12	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	0.070	0.042
LOC101929579	101929579	3q13.12	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	0.070	0.042
LOC101929607	101929607	3q13.12	-0.011	-0.060	0.029	0.206	-0.009	-0.335	0.158	0.070	0.042
BBX	56987	3q13.12	-0.011	-0.060	0.029	0.166	-0.009	-0.335	0.158	0.070	0.146
LINC00635	151658	3q13.12	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	0.158	0.070	0.355
LINC00636	285205	3q13.12	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	0.158	0.070	0.355
CD47	961	3q13.12	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	0.158	0.070	0.355
LINC01215	101929623	3q13.12	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	0.158	0.070	0.355
IFT57	55081	3q13.12	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	0.158	0.070	0.144
HHLA2	11148	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	0.158	0.070	0.084
MYH15	22989	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	0.158	0.070	0.084
KIAA1524	57650	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	0.158	0.070	0.084
DZIP3	9666	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	0.158	0.070	0.084
RETNLB	84666	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	-0.128	0.070	0.084
TRAT1	50852	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	-0.414	0.070	0.084
GUCA1C	9626	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	-0.414	0.070	0.084
MORC1	27136	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	-0.414	0.070	0.084
FLJ22763	401081	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	-0.414	0.070	-0.598
LINC00488	677779	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	-0.414	0.070	-0.598
DPPA2	151871	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	-0.414	-0.240	-0.598
DPPA4	55211	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	-0.160	-0.550	-0.598
LINC01205	401082	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	0.094	-0.414	-0.598
MIR4445	100616129	3q13.13	-0.011	-0.060	0.029	-0.056	-0.009	-0.335	0.094	-0.003	-0.598
