chromosome	start	end	strand	gene_name	gene_type
chr2	218841599	218842065	+	RPL23AP31	processed_pseudogene
chr2	218859805	218874233	+	WNT6	protein_coding
chr2	218880852	218899581	+	WNT10A	protein_coding
chr2	218900811	218930636	-	LINC01494	lncRNA
chr2	218909158	218939965	+	ENSG00000288898	lncRNA
chr2	218916184	218916287	-	RNU6-642P	snRNA
chr2	218944629	218961903	-	CDK5R2-AS1	lncRNA
chr2	218953401	218954050	-	KRT8P30	processed_pseudogene
chr2	218959666	218962155	+	CDK5R2	protein_coding
chr2	218975393	218989940	+	LINC00608	lncRNA
chr2	218981087	218985184	-	FEV	protein_coding
chr2	218990189	218993422	-	CRYBA2	protein_coding
chr2	219001645	219001708	-	MIR375	miRNA
chr2	219002215	219015721	+	ENSG00000224090	lncRNA
chr2	219002846	219041527	-	CFAP65	protein_coding
chr2	219054424	219060921	-	IHH	protein_coding
chr2	219058688	219058750	-	MIR3131	miRNA
chr2	219065308	219070022	+	ENSG00000286606	lncRNA
chr2	219069357	219160865	-	NHEJ1	protein_coding
chr2	219075329	219170827	-	ENSG00000280537	protein_coding
chr2	219102434	219102719	+	RN7SL764P	misc_RNA
chr2	219161465	219170095	-	SLC23A3	protein_coding
chr2	219171897	219178106	-	CNPPD1	protein_coding
chr2	219176225	219185475	+	RETREG2	protein_coding
chr2	219195237	219209651	+	ZFAND2B	protein_coding
chr2	219198640	219200034	-	ENSG00000287529	lncRNA
chr2	219209772	219218994	-	ABCB6	protein_coding
chr2	219209772	219222738	-	ENSG00000284820	protein_coding
chr2	219219380	219229717	-	ATG9A	protein_coding
chr2	219229783	219236679	+	ANKZF1	protein_coding
chr2	219236598	219245478	-	GLB1L	protein_coding
chr2	219245455	219250337	+	STK16	protein_coding
chr2	219249710	219277902	-	TUBA4A	protein_coding
chr2	219253243	219272197	+	TUBA4B	protein_coding
chr2	219279342	219286898	+	DNAJB2	protein_coding
chr2	219289623	219309648	-	PTPRN	protein_coding
chr2	219294111	219294200	-	MIR153-1	miRNA
chr2	219299002	219304130	+	ENSG00000230432	lncRNA
chr2	219327407	219333177	-	RESP18	protein_coding
chr2	219358870	219358983	-	ENSG00000232789	unprocessed_pseudogene
chr2	219372043	219400022	-	DNPEP	protein_coding
chr2	219388496	219403633	+	DNPEP-AS1	lncRNA
chr2	219418377	219426735	+	DES	protein_coding
chr2	219425071	219426184	-	ENSG00000234638	lncRNA
chr2	219427477	219429319	+	ENSG00000280323	TEC
chr2	219434843	219493629	+	SPEG	protein_coding
chr2	219482073	219516877	-	ASIC4-AS1	lncRNA
chr2	219491867	219498244	+	ENSG00000286143	protein_coding
chr2	219496131	219498287	+	SPEGNB	protein_coding
chr2	219497611	219498246	-	ENSG00000268603	lncRNA
chr2	219498865	219513898	+	GMPPA	protein_coding
chr2	219514170	219538772	+	ASIC4	protein_coding
chr2	219538954	219543809	-	CHPF	protein_coding
chr2	219543663	219550595	+	TMEM198	protein_coding
chr2	219547211	219547658	-	ENSG00000268896	lncRNA
chr2	219549073	219549147	-	MIR3132	miRNA
chr2	219550728	219571859	-	OBSL1	protein_coding
chr2	219559083	219559626	+	ENSG00000269068	lncRNA
chr2	219569162	219575711	+	INHA	protein_coding
chr2	219590687	219590984	-	RN7SKP213	misc_RNA
chr2	219597857	219616451	+	STK11IP	protein_coding
chr2	219625059	219626693	-	ENSG00000228973	lncRNA
chr2	219627394	219641980	+	SLC4A3	protein_coding
chr2	219645090	219645631	+	ENSG00000267919	lncRNA
chr2	219684030	219684795	-	DNAJB6P3	processed_pseudogene
chr2	219685381	219737937	+	LINC02832	lncRNA
chr2	219697799	219698214	+	RPL23P4	processed_pseudogene
chr2	219903900	219904923	-	LINC01803	lncRNA
chr2	219904983	219912834	-	ENSG00000286199	lncRNA
chr2	219906502	219906565	-	MIR4268	miRNA
chr2	219947867	220035193	+	ENSG00000288902	lncRNA
chr2	220048822	220049272	-	ENSG00000225911	processed_pseudogene
chr2	220105656	220450778	+	ENSG00000239498	lncRNA
chr2	220127546	220212491	+	ENSG00000235337	lncRNA
chr2	220450679	220741493	+	ENSG00000236451	lncRNA
chr2	220776818	220855873	+	ENSG00000224819	lncRNA
chr2	220811618	220853456	-	ENSG00000286272	lncRNA
chr2	221162771	221163053	+	ENSG00000232089	processed_pseudogene
chr2	221306290	221308329	-	ENSG00000286170	lncRNA
chr2	221418027	221574202	-	EPHA4	protein_coding
chr2	221532668	221533008	+	TMEM256P2	processed_pseudogene
chr2	221572506	221574454	+	ENSG00000272944	lncRNA
chr2	221592441	221592861	+	RPL23P5	processed_pseudogene
chr2	221609324	221650218	+	ENSG00000234446	lncRNA
chr2	221944223	221944612	+	LLPHP3	processed_pseudogene
chr2	221961737	221963765	+	HSPA9P1	processed_pseudogene
chr2	222044525	222044994	-	RPL23AP28	processed_pseudogene
chr2	222199887	222298998	-	PAX3	protein_coding
chr2	222298147	222305217	+	CCDC140	lncRNA
chr2	222317242	222320208	-	ENSG00000288658	protein_coding
chr2	222318275	222352989	+	CT75	transcribed_unprocessed_pseudogene
chr2	222404985	222405095	+	Y_RNA	misc_RNA
chr2	222424543	222562621	+	SGPP2	protein_coding
chr2	222452400	222453126	-	NANOGP2	processed_pseudogene
chr2	222498291	222498398	+	RNU6-619P	snRNA
chr2	222503883	222504843	-	GAPDHP49	processed_pseudogene
chr2	222566899	222656092	-	FARSB	protein_coding
chr2	222671658	222709930	+	MOGAT1	protein_coding
chr2	222677677	222678289	-	RRAS2P2	processed_pseudogene
chr2	222698623	222699484	-	ENSG00000203531	processed_pseudogene
chr2	222726457	222726834	+	RPL31P17	processed_pseudogene
chr2	222860942	222944639	+	ACSL3	protein_coding
chr2	222904640	222905055	-	ATG12P2	processed_pseudogene
chr2	222917387	222919363	-	ACSL3-AS1	lncRNA
chr2	222945930	222946388	-	ENSG00000278083	processed_pseudogene
chr2	223052190	223198399	+	KCNE4	protein_coding
chr2	223248498	223248794	-	RN7SL807P	misc_RNA
chr2	223398267	223398546	-	HIGD1AP4	processed_pseudogene
chr2	223498773	223504611	+	ENSG00000231189	lncRNA
chr2	223505476	223510933	+	ENSG00000235610	lncRNA
chr2	223596940	223602361	-	SCG2	protein_coding
chr2	223704621	223705338	+	MLXP1	processed_pseudogene
chr2	223751686	223838027	-	AP1S3	protein_coding
chr2	223757258	223945299	-	ENSG00000286239	protein_coding
chr2	223855716	223945357	-	WDFY1	protein_coding
chr2	223957463	223967714	+	MRPL44	protein_coding
chr2	223965701	223967706	-	ENSG00000228802	lncRNA
chr2	223975045	224039318	-	SERPINE2	protein_coding
chr2	224169664	224171537	+	USP21P1	processed_pseudogene
chr2	224294930	224295753	+	ENSG00000228681	processed_pseudogene
chr2	224378698	224402107	-	FAM124B	protein_coding
chr2	224464682	224474500	+	ENSG00000274629	lncRNA
chr2	224470150	224585397	-	CUL3	protein_coding
chr2	224499387	224500100	-	ANKRD49P1	processed_pseudogene
chr2	224703764	224716365	-	CCDC195	protein_coding
chr2	224765090	225042468	-	DOCK10	protein_coding
chr2	225010461	225010540	-	MIR4439	miRNA
chr2	225399710	225729887	+	NYAP2	protein_coding
chr2	225668964	225670631	+	ENSG00000289265	lncRNA
chr2	225761559	225762112	+	ENSG00000279015	TEC
chr2	225992981	225993197	-	ENSG00000230621	processed_pseudogene
chr2	226180044	226185371	-	ENSG00000235070	lncRNA
chr2	226658710	226658793	-	MIR5702	miRNA
chr2	226731312	226799820	-	IRS1	protein_coding
chr2	226800146	226813741	+	ENSG00000272622	lncRNA
chr2	226804036	226805061	+	ENSG00000261379	lncRNA
chr2	226835581	226999215	+	RHBDD1	protein_coding
chr2	226968989	226969122	-	ENSG00000212391	snoRNA
chr2	227002714	227164453	-	COL4A4	protein_coding
chr2	227164624	227314792	+	COL4A3	protein_coding
chr2	227221052	227325711	-	MFF-DT	lncRNA
chr2	227325151	227357836	+	MFF	protein_coding
chr2	227362038	227381995	-	TM4SF20	protein_coding
chr2	227387683	227387949	-	SCYGR1	protein_coding
chr2	227472132	227472187	+	MIR5703	miRNA
chr2	227472152	227561217	+	AGFG1	protein_coding
chr2	227587237	227587515	-	SCYGR9	polymorphic_pseudogene
chr2	227598893	227599255	+	SCYGR2	protein_coding
chr2	227608784	227609101	+	SCYGR10	polymorphic_pseudogene
chr2	227610090	227648606	-	C2orf83	transcribed_unprocessed_pseudogene
chr2	227614538	227614840	-	SCYGR3	protein_coding
chr2	227616998	227617790	-	ENSG00000236116	lncRNA
chr2	227616998	227618655	+	SCYGR4	protein_coding
chr2	227666804	227667061	+	SCYGR5	protein_coding
chr2	227683763	227718028	-	SLC19A3	protein_coding
chr2	227724440	227724757	-	SCYGR6	protein_coding
chr2	227728335	227728625	+	SCYGR7	protein_coding
chr2	227745845	227746681	+	SCYGR8	protein_coding
chr2	227763052	227763152	-	RNA5SP121	rRNA_pseudogene
chr2	227778510	227778735	-	SNRPGP8	processed_pseudogene
chr2	227801840	227804705	+	ENSG00000229172	processed_pseudogene
chr2	227805739	227817564	+	CCL20	protein_coding
chr2	227870083	227870644	-	TDGF1P2	processed_pseudogene
chr2	227871054	227924344	+	DAW1	protein_coding
chr2	227887631	227887744	+	ENSG00000272237	snoRNA
chr2	227979955	228181687	-	SPHKAP	protein_coding
chr2	228169743	228169849	+	RNU6-624P	snRNA
chr2	228352120	228353215	-	SNF8P1	processed_pseudogene
chr2	228378500	228379773	+	ENSG00000286772	lncRNA
chr2	228475224	228841689	-	LINC01807	lncRNA
chr2	228683537	228684580	-	ENSG00000228226	lncRNA
chr2	228753324	228753786	+	RPL7L1P10	processed_pseudogene
chr2	228850526	229271287	-	PID1	protein_coding
chr2	229003886	229004400	+	RPL17P14	processed_pseudogene
chr2	229236340	229236609	-	RN7SKP283	misc_RNA
chr2	229357629	229714555	-	DNER	protein_coding
chr2	229407358	229408328	+	ENSG00000287791	lncRNA
chr2	229606238	229606299	+	RNU7-9P	snRNA
chr2	229701794	229702148	+	ENSG00000235993	processed_pseudogene
chr2	229763837	229923239	-	TRIP12	protein_coding
chr2	229894346	229894453	+	RNU6-613P	snRNA
chr2	229922302	230013119	+	FBXO36	protein_coding
chr2	229937814	229937882	-	RNU6-964P	snRNA
chr2	229942728	229945137	+	FBXO36-IT1	lncRNA
chr2	229973315	229973421	+	RNU6-1027P	snRNA
chr2	230034982	230068993	-	SLC16A14	protein_coding
chr2	230058229	230058324	-	RNY4P19	misc_RNA
chr2	230121370	230174223	+	ENSG00000225963	lncRNA
chr2	230138601	230138783	+	ENSG00000283451	unitary_pseudogene
chr2	230165186	230225729	-	SP110	protein_coding
chr2	230203110	230313215	+	SP140	protein_coding
chr2	230327184	230403732	+	SP140L	protein_coding
chr2	230410700	230412529	-	ENSG00000279964	TEC
chr2	230415942	230545606	+	SP100	protein_coding
chr2	230507101	230507386	+	RN7SL834P	misc_RNA
chr2	230515023	230515638	+	HMGB1P3	processed_pseudogene
chr2	230520594	230580006	-	ENSG00000235419	lncRNA
chr2	230573167	230573809	-	TPM3P8	processed_pseudogene
chr2	230584815	230586715	-	ENSG00000283202	unitary_pseudogene
chr2	230587121	230587227	+	RNU6-451P	snRNA
chr2	230657823	230659323	-	ENSG00000289157	lncRNA
chr2	230690065	230700529	-	LINC01907	lncRNA
chr2	230712842	230821075	+	CAB39	protein_coding
chr2	230725143	230725403	-	BANF1P3	processed_pseudogene
chr2	230752141	230752247	+	RNU6-268P	snRNA
chr2	230836909	230837385	+	ENSG00000270891	processed_pseudogene
chr2	230864639	230879248	+	ITM2C	protein_coding
chr2	230886474	230904693	+	GCSIR	lncRNA
chr2	230907318	230961066	-	GPR55	protein_coding
chr2	230908852	230910102	+	ENSG00000230385	lncRNA
chr2	230924567	230929919	+	ENSG00000283164	lncRNA
chr2	230957593	230957950	+	COX20P2	processed_pseudogene
chr2	230984368	230996032	-	SPATA3-AS1	lncRNA
chr2	230990324	231025055	+	SPATA3	protein_coding
chr2	231037523	231049719	+	C2orf72	protein_coding
chr2	231052040	231052637	+	ENSG00000261829	lncRNA
chr2	231056845	231173116	+	PSMD1	protein_coding
chr2	231108230	231125042	-	HTR2B	protein_coding
chr2	231133462	231133630	+	RNU1-93P	snRNA
chr2	231198546	231376848	+	ARMC9	protein_coding
chr2	231256097	231256306	+	RPS28P4	processed_pseudogene
chr2	231362708	231362793	+	MIR4777	miRNA
chr2	231388976	231394991	+	ENSG00000224376	lncRNA
chr2	231395710	231401164	+	B3GNT7	protein_coding
chr2	231433923	231434426	-	ZBTB8OSP2	processed_pseudogene
chr2	231437101	231437421	-	HIGD2AP1	processed_pseudogene
chr2	231452195	231453153	+	ENSG00000233538	lncRNA
chr2	231453531	231483641	-	NCL	protein_coding
chr2	231455800	231455936	-	SNORA75	snoRNA
chr2	231456444	231456523	-	SNORD20	snoRNA
chr2	231460371	231460440	-	SNORD82	snoRNA
chr2	231493708	231495299	-	ENSG00000283312	processed_pseudogene
chr2	231497090	231507256	-	ENSG00000283491	unprocessed_pseudogene
chr2	231501990	231502201	-	RNU2-22P	snRNA
chr2	231508420	231514396	-	LINC00471	lncRNA
chr2	231518582	231521067	-	ENSG00000286942	lncRNA
chr2	231523187	231530445	-	NMUR1	protein_coding
chr2	231559903	231560364	+	RPL21P35	processed_pseudogene
chr2	231585864	231586327	+	RPL23AP26	processed_pseudogene
chr2	231588959	231592776	-	ENSG00000286399	lncRNA
chr2	231592864	231594276	+	TEX44	protein_coding
chr2	231645998	231646273	-	RN7SL499P	misc_RNA
chr2	231705830	231707035	-	ENSG00000289018	lncRNA
chr2	231706895	231713551	+	PTMA	protein_coding
chr2	231711525	231711647	+	U4	snRNA
chr2	231713314	231713398	+	MIR1244-1	miRNA
chr2	231732433	231786272	-	PDE6D	protein_coding
chr2	231781671	231809254	+	COPS7B	protein_coding
chr2	231789481	231789887	-	RPL28P2	processed_pseudogene
chr2	231809846	231812352	+	ENSG00000261096	lncRNA
chr2	231810348	231810844	-	ENSG00000260622	processed_pseudogene
chr2	231892242	231892298	-	MIR1471	miRNA
chr2	231921809	231926396	-	NPPC	protein_coding
chr2	231961245	232344350	+	DIS3L2	protein_coding
chr2	231978488	232015720	-	ENSG00000227033	lncRNA
chr2	232172653	232172747	+	MIR562	miRNA
chr2	232343116	232343903	+	NRBF2P6	processed_pseudogene
chr2	232349754	232351309	-	ECEL1P3	unprocessed_pseudogene
chr2	232368576	232368697	+	ENSG00000275157	unprocessed_pseudogene
chr2	232378724	232382889	+	ALPP	protein_coding
chr2	232379635	232381674	-	ENSG00000224516	lncRNA
chr2	232385750	232387457	-	ECEL1P2	transcribed_unprocessed_pseudogene
chr2	232406844	232410714	+	ALPG	protein_coding
chr2	232415818	232419816	-	ECEL1P1	unprocessed_pseudogene
chr2	232420661	232421461	-	ENSG00000237087	lncRNA
chr2	232442034	232447418	+	DIS3L2P1	unprocessed_pseudogene
chr2	232456125	232460753	+	ALPI	protein_coding
chr2	232479827	232487834	-	ECEL1	protein_coding
chr2	232520388	232525716	+	PRSS56	protein_coding
chr2	232525993	232536667	+	CHRND	protein_coding
chr2	232539692	232548115	+	CHRNG	protein_coding
chr2	232543883	232550557	-	TIGD1	protein_coding
chr2	232550474	232550573	-	MIR5001	miRNA
chr2	232550659	232583644	+	EIF4E2	protein_coding
chr2	232580948	232611971	-	ENSG00000237126	lncRNA
chr2	232606057	232682776	+	EFHD1	protein_coding
chr2	232649849	232650136	+	RN7SL359P	misc_RNA
chr2	232697299	232860605	+	GIGYF2	protein_coding
chr2	232729523	232730198	-	EEF1B2P7	processed_pseudogene
chr2	232760146	232767949	-	ENSG00000241409	lncRNA
chr2	232765802	232776565	-	KCNJ13	protein_coding
chr2	232782665	232782766	+	RNU6-107P	snRNA
chr2	232828653	232828751	+	Y_RNA	misc_RNA
chr2	232857270	232878708	+	SNORC	protein_coding
chr2	232878701	233013256	-	NGEF	protein_coding
chr2	233012614	233015885	+	ENSG00000222001	lncRNA
chr2	233032672	233035057	+	NEU2	protein_coding
chr2	233059967	233207903	+	INPP5D	protein_coding
chr2	233177184	233180108	-	ENSG00000289129	lncRNA
chr2	233205199	233205479	+	RN7SL32P	misc_RNA
chr2	233210051	233295674	+	ATG16L1	protein_coding
chr2	233275727	233276002	+	SCARNA5	scaRNA
chr2	233288676	233288940	+	SCARNA6	scaRNA
chr2	233307816	233347055	+	SAG	protein_coding
chr2	233351132	233353416	-	ENSG00000259793	lncRNA
chr2	233354494	233472104	+	DGKD	protein_coding
chr2	233379843	233379955	-	Y_RNA	misc_RNA
chr2	233475520	233566782	-	USP40	protein_coding
chr2	233545482	233547032	+	PPFIA1P1	processed_pseudogene
chr2	233585439	233586291	+	UGT1A12P	unprocessed_pseudogene
chr2	233603553	233604401	+	UGT1A11P	unprocessed_pseudogene
chr2	233617633	233773300	+	UGT1A8	protein_coding
chr2	233636448	233773300	+	UGT1A10	protein_coding
chr2	233647926	233649026	+	UGT1A13P	unprocessed_pseudogene
chr2	233671898	233773300	+	UGT1A9	protein_coding
chr2	233681901	233773300	+	UGT1A7	protein_coding
chr2	233691607	233773300	+	UGT1A6	protein_coding
chr2	233693434	233708699	-	ENSG00000224814	lncRNA
chr2	233712907	233773300	+	UGT1A5	protein_coding
chr2	233718736	233773300	+	UGT1A4	protein_coding
chr2	233721522	233722065	-	RPL17P11	processed_pseudogene
chr2	233729042	233773300	+	UGT1A3	protein_coding
chr2	233738952	233741957	+	ENSG00000248114	unprocessed_pseudogene
chr2	233742750	233744015	-	DNAJB3	transcribed_processed_pseudogene
chr2	233747214	233748079	+	UGT1A2P	unprocessed_pseudogene
chr2	233750617	233753656	+	ENSG00000248705	unprocessed_pseudogene
chr2	233754305	233755345	-	ENSG00000178836	transcribed_processed_pseudogene
chr2	233760270	233773300	+	UGT1A1	protein_coding
chr2	233775679	233833423	+	MROH2A	protein_coding
chr2	233833416	233854566	-	HJURP	protein_coding
chr2	233865437	233868444	-	MSL3P1	transcribed_processed_pseudogene
chr2	233865496	233867359	-	ENSG00000279809	TEC
chr2	233917373	234019522	+	TRPM8	protein_coding
chr2	233946146	233955435	-	ENSG00000237581	lncRNA
chr2	233977872	233980018	-	ENSG00000286059	lncRNA
chr2	234050679	234077134	+	SPP2	protein_coding
chr2	234082259	234084490	+	ENSG00000279218	TEC
chr2	234109081	234109481	+	ENSG00000226442	lncRNA
chr2	234222838	234224514	+	ENSG00000261298	lncRNA
chr2	234329483	234329838	+	RPS20P12	processed_pseudogene
chr2	234351247	234356038	-	ENSG00000288040	lncRNA
chr2	234438328	234462127	+	ENSG00000228162	lncRNA
chr2	234444590	234454595	-	LINC01891	lncRNA
chr2	234455157	234455783	-	HSPE1P9	unprocessed_pseudogene
chr2	234493041	234497081	-	ARL4C	protein_coding
chr2	234682668	234717764	+	LINC01173	lncRNA
chr2	234743542	234745606	-	ENSG00000278593	unprocessed_pseudogene
chr2	234803808	234913384	-	ENSG00000235726	lncRNA
chr2	234952017	235055714	+	SH3BP4	protein_coding
chr2	235084822	235088586	-	ENSG00000226542	lncRNA
chr2	235147016	235147500	-	CEP19P1	processed_pseudogene
chr2	235177896	235178905	+	ENSG00000235293	lncRNA
chr2	235494043	236131800	+	AGAP1	protein_coding
chr2	235505553	235507566	+	AGAP1-IT1	lncRNA
chr2	235773855	235783387	-	ENSG00000222007	lncRNA
chr2	235882362	235882493	-	TMSB10P1	processed_pseudogene
chr2	236037250	236037311	+	RNU7-127P	snRNA
chr2	236072295	236072556	+	RN7SL204P	misc_RNA
chr2	236153071	236153172	-	Y_RNA	misc_RNA
chr2	236165236	236168386	-	GBX2	protein_coding
chr2	236167418	236294927	+	GBX2-AS1	lncRNA
chr2	236193459	236264409	-	ASB18	protein_coding
chr2	236210373	236210548	-	RNU1-31P	snRNA
chr2	236324147	236507535	-	IQCA1	protein_coding
chr2	236367560	236369102	+	ENSG00000270540	lncRNA
chr2	236391074	236392388	+	IQCA1-AS1	lncRNA
chr2	236407846	236409077	-	RPL3P5	transcribed_processed_pseudogene
chr2	236567787	236582354	+	ACKR3	protein_coding
chr2	236733289	236754363	+	ENSG00000232328	lncRNA
chr2	236910797	237085838	-	COPS8-DT	lncRNA
chr2	237015204	237015305	-	RNU6-1051P	snRNA
chr2	237048599	237056167	-	ENSG00000124835	lncRNA
chr2	237085882	237100474	+	COPS8	protein_coding
chr2	237122910	237124097	-	ENSG00000224844	lncRNA
chr2	237257091	237257676	+	ENSG00000224132	lncRNA
chr2	237324003	237414328	-	COL6A3	protein_coding
chr2	237421420	237425276	-	ENSG00000222022	lncRNA
chr2	237428920	237434883	-	ENSG00000222032	lncRNA
chr2	237485428	237555322	+	MLPH	protein_coding
chr2	237485694	237487137	-	ENSG00000289261	lncRNA
chr2	237510931	237510988	+	MIR6811	miRNA
chr2	237563165	237563270	+	RNU6-1140P	snRNA
chr2	237566574	237567175	+	PRLH	protein_coding
chr2	237574322	237601614	-	RAB17	protein_coding
chr2	237591020	237595981	+	ENSG00000234949	lncRNA
chr2	237612977	237626525	+	ENSG00000227107	lncRNA
chr2	237627587	237813682	+	LRRFIP1	protein_coding
chr2	237728569	237731131	-	ENSG00000286864	lncRNA
chr2	237798389	237842808	+	RBM44	protein_coding
chr2	237858893	237912106	+	RAMP1	protein_coding
chr2	237869904	237869982	+	SNORD39	snoRNA
chr2	237923437	237962730	-	ENSG00000288857	lncRNA
chr2	237966827	238042782	+	UBE2F	protein_coding
chr2	237967014	238099412	+	UBE2F-SCLY	protein_coding
chr2	238028971	238029063	-	RNU6-1333P	snRNA
chr2	238060924	238099413	+	SCLY	protein_coding
chr2	238100340	238133287	+	ESPNL	protein_coding
chr2	238138668	238152947	+	KLHL30	protein_coding
chr2	238152889	238155994	-	KLHL30-AS1	lncRNA
chr2	238158970	238168900	+	ERFE	protein_coding
chr2	238170402	238203708	-	ILKAP	protein_coding
chr2	238224552	238231711	-	LINC02610	lncRNA
chr2	238231684	238255633	+	ENSG00000225057	lncRNA
chr2	238238267	238240662	-	HES6	protein_coding
chr2	238244044	238290102	-	PER2	protein_coding
chr2	238289127	238300185	+	ENSG00000283635	lncRNA
chr2	238295392	238300620	-	ENSG00000232306	lncRNA
chr2	238320441	238400897	+	TRAF3IP1	protein_coding
chr2	238412642	238412745	+	RNU6-234P	snRNA
chr2	238426742	238452250	+	ASB1	protein_coding
chr2	238427077	238427729	-	ENSG00000229915	lncRNA
chr2	238454908	238457520	+	ENSG00000274346	unprocessed_pseudogene
chr2	238510690	238555054	-	LINC01107	lncRNA
chr2	238554541	238740849	+	LINC01937	lncRNA
chr2	238711224	238722543	-	ENSG00000286160	lncRNA
chr2	238735263	238735547	-	ENSG00000224252	processed_pseudogene
chr2	238771768	238784764	+	ENSG00000286748	lncRNA
chr2	238788648	238789716	-	ENSG00000226992	lncRNA
chr2	238848032	238910534	+	TWIST2	protein_coding
chr2	238919302	238926269	-	LINC01940	lncRNA
chr2	239048168	239401654	-	HDAC4	protein_coding
chr2	239068817	239068914	-	MIR4440	miRNA
chr2	239085827	239085926	-	MIR4441	miRNA
chr2	239114858	239118842	+	ENSG00000286307	lncRNA
chr2	239194118	239197654	+	ENSG00000287405	lncRNA
chr2	239305462	239305545	+	MIR4269	miRNA
chr2	239351724	239351804	-	MIR2467	miRNA
chr2	239401436	239402394	+	HDAC4-AS1	lncRNA
chr2	239439595	239531363	+	ENSG00000286525	lncRNA
chr2	239493587	239496697	-	ENSG00000288082	lncRNA
chr2	239538379	239544876	+	ENSG00000286188	lncRNA
chr2	239578301	239586094	+	ENSG00000196758	lncRNA
chr2	239625698	239630839	+	ENSG00000227459	lncRNA
chr2	239734956	239735538	+	ENSG00000259889	lncRNA
chr2	239762860	239824764	+	ENSG00000220256	lncRNA
chr2	239892450	240025743	-	NDUFA10	protein_coding
chr2	239943015	239943094	-	MIR4786	miRNA
chr2	240029491	240030429	-	OR6B2	protein_coding
chr2	240045077	240047027	-	OR6B3	protein_coding
chr2	240079433	240080362	+	OR9S24P	unprocessed_pseudogene
chr2	240109102	240110052	+	OR5S1P	unitary_pseudogene
chr2	240126563	240136807	-	COPS9	protein_coding
chr2	240139026	240144562	-	OTOS	protein_coding
chr2	240184716	240187878	+	ENSG00000286325	lncRNA
chr2	240189710	240194408	-	ENSG00000286183	lncRNA
chr2	240227560	240256035	-	ENSG00000227479	lncRNA
chr2	240289216	240289443	+	U3	snoRNA
chr2	240435663	240468076	+	GPC1	protein_coding
chr2	240449315	240456714	-	ENSG00000218416	lncRNA
chr2	240456001	240456089	+	MIR149	miRNA
chr2	240479422	240569209	-	ANKMY1	protein_coding
chr2	240558089	240558925	+	ENSG00000287049	lncRNA
chr2	240560054	240565256	+	DUSP28	protein_coding
chr2	240565804	240581372	+	RNPEPL1	protein_coding
chr2	240582700	240586699	-	CAPN10-DT	lncRNA
chr2	240586734	240617705	+	CAPN10	protein_coding
chr2	240605430	240633159	+	GPR35	protein_coding
chr2	240672530	240672812	+	ENSG00000276949	processed_pseudogene
chr2	240676418	240682906	-	AQP12B	protein_coding
chr2	240686334	240690414	+	ENSG00000219159	lncRNA
chr2	240691866	240698483	+	AQP12A	protein_coding
chr2	240701204	240701685	-	ENSG00000274977	processed_pseudogene
chr2	240713761	240824293	-	KIF1A	protein_coding
chr2	240868824	240880502	+	AGXT	protein_coding
chr2	240886048	240896889	-	MAB21L4	protein_coding
chr2	240906330	240993311	+	CROCC2	protein_coding
chr2	240954617	240967451	-	UICLM	lncRNA
chr2	240981515	240986072	-	ENSG00000223991	lncRNA
chr2	240998618	241095568	+	SNED1	protein_coding
chr2	241010045	241010744	-	ENSG00000229996	lncRNA
chr2	241015599	241064116	-	SNED1-AS1	lncRNA
chr2	241072169	241102332	-	MTERF4	protein_coding
chr2	241102486	241103635	+	ENSG00000289253	lncRNA
chr2	241106099	241150264	-	PASK	protein_coding
chr2	241118725	241118943	+	ENSG00000235861	processed_pseudogene
chr2	241149576	241183652	+	PPP1R7	protein_coding
chr2	241188509	241225976	+	ANO7	protein_coding
chr2	241227264	241317061	-	HDLBP	protein_coding
chr2	241315100	241354027	+	SEPTIN2	protein_coding
chr2	241326334	241327039	-	ENSG00000286588	lncRNA
chr2	241351340	241353104	-	ENSG00000223374	lncRNA
chr2	241356285	241494841	+	FARP2	protein_coding
chr2	241360891	241372749	-	ENSG00000288080	lncRNA
chr2	241477905	241477982	+	MIR3133	miRNA
chr2	241478316	241478993	+	KCTD5P1	processed_pseudogene
chr2	241492670	241509730	-	STK25	protein_coding
chr2	241508904	241509916	+	ENSG00000289555	lncRNA
chr2	241544403	241558977	-	BOK-AS1	lncRNA
chr2	241551424	241574131	+	BOK	protein_coding
chr2	241581922	241582726	+	ENSG00000273113	lncRNA
chr2	241584405	241637158	-	THAP4	protein_coding
chr2	241584968	241585075	+	RNA5SP122	rRNA_pseudogene
chr2	241637213	241673857	+	ATG4B	protein_coding
chr2	241675747	241686944	-	DTYMK	protein_coding
chr2	241687085	241729478	+	ING5	protein_coding
chr2	241724615	241725693	-	ENSG00000235351	lncRNA
chr2	241734602	241768816	+	D2HGDH	protein_coding
chr2	241734715	241735498	-	ENSG00000215692	lncRNA
chr2	241754793	241755740	-	ENSG00000234793	lncRNA
chr2	241776822	241804287	+	GAL3ST2	protein_coding
chr2	241800916	241801907	-	ENSG00000215023	lncRNA
chr2	241808312	241812016	-	ENSG00000224272	lncRNA
chr2	241809065	241817413	+	NEU4	protein_coding
chr2	241844380	241845036	+	ENSG00000235151	lncRNA
chr2	241849884	241858894	-	PDCD1	protein_coding
chr2	241869600	241873823	+	RTP5	protein_coding
chr2	241881363	242078722	+	LINC01237	lncRNA
chr2	241893988	241902551	-	FAM240C	protein_coding
chr2	241970683	241977276	+	LINC01238	lncRNA
chr2	242001209	242006013	+	ENSG00000280119	TEC
